(Do Not Modify) Task,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Subject,Description,Regarding,Owner,Duration,DueDate,Mo.-Fr. after 6pm,Offsetting to Customer,Saturday,Sunday/Holiday
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/2/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/3/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/9/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/10/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/11/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/12/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/13/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/16/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/17/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/18/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/19/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/20/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/23/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/24/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/25/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/26/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/27/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/30/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/31/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/1/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/2/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/3/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/6/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/7/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/8/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/9/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/10/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/13/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/14/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/15/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/16/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/17/17 1:00 PM,,,,
,,,Hyper-V cluster recovery after the failure,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,360,2/18/17 10:00 AM,,,,
,,,DC failure diagnostics,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/20/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/21/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/22/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/23/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/24/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,2/27/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,2/28/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2016,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,3/1/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2017,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,330,3/2/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2018,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,330,3/3/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2019,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,3/6/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2020,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,3/7/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2021,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,360,3/8/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2022,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,360,3/9/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2023,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,360,3/10/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2024,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,405,3/13/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2025,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,3/14/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2026,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,3/15/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2027,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,3/16/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2028,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,3/17/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2029,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,3/20/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2030,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,3/21/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2031,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,3/22/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2032,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,3/23/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2033,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,3/24/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2034,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,3/27/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2035,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,3/28/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2036,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,360,3/29/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2037,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,3/30/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2038,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,405,3/31/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2039,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,4/3/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2040,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,4/4/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2041,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,4/5/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2042,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,4/6/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2043,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,4/7/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2044,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,4/18/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2045,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,120,4/19/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2046,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,4/20/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2047,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,4/21/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2048,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,4/24/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2049,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,360,4/25/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2050,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,4/26/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2051,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,4/27/17 1:00 PM,,,,
,,,Preparation and upgrade System Center 2012 ifrastructure to the System Center 2052,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,360,4/28/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2016,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/2/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2017,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/3/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2018,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/4/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2019,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/5/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2020,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,5/8/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2021,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,420,5/9/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2022,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/10/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2023,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/12/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2024,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/15/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2025,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/16/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2026,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/18/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2027,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/19/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2028,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/22/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2029,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/23/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2030,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,5/24/17 1:00 PM,,,,
,,,Preparing and upgrading the management servers infrastructure to windows server 2031,,ITVT - Datacenter Konzeption,Yaroslav Yakushev,240,5/26/17 1:00 PM,,,,
